,评论,时间
0,终于等到你，还好我没放弃, 25-5-26 01:08  来自广东
1,终于等到你, 25-5-26 03:21  来自广东
2,白老板，你好, 25-5-26 08:24  来自安徽
3,转发微博, 25-5-27 09:03  来自湖北
4,你们终于站起来了, 25-5-26 09:33  来自贵州
5,各种露胸露大腿！不怕被和谐吗, 25-5-26 09:29  来自河北
6,回复@坐忘道8896:不良人就被……, 25-5-26 15:02 来自河北
7,和谐个锤子，哪个动漫没有, 25-5-26 13:13 来自河北
8,千万别刀白老板 求求🥺, 25-5-25 22:09  来自陕西
9,都25年了还在开嘲笑女生平胸的玩笑, 25-5-25 20:51  来自新疆
10,回复@流浪Hu小鱼:我在说胸，没说下体，你怎么就来对号入座了, 25-5-27 17:59 来自新疆
11,有人对号入座了我不说是谁, 25-5-26 23:34 来自广东
12,养肥了看。, 25-5-25 20:44  来自广东
13,御姐变萝莉，这突如其来的转变, 25-5-25 18:01  来自上海
14,终于等到你～还好我没放弃～, 25-5-25 17:09  来自山东
15,跪求白老板高清壁纸哇~~, 25-5-25 15:33  来自安徽
16,等了几年，就这？密码的还跳起了广场舞, 25-5-25 11:33  来自安徽
17,不是第二季肯定要铺垫啊，补充了这么多世界观肯定要铺垫, 25-5-25 12:43 来自陕西
18,终于来啦, 25-5-25 11:28  来自河北
19,授权做一下手办啊跟黑神话一样做1/12的可动手办肯定卖爆啊 白月魁马克这些, 25-5-25 11:27  来自四川
20,终于等到你, 25-5-25 11:12  来自上海
21,月魁传第三季什么时候更, 25-5-25 01:05  来自天津
22,能不能出超点，等不及了, 25-5-25 01:28  来自浙江
23,电影等多少年？, 25-5-25 06:26  来自吉林
24,配音团队大换血  我真服了！！！！  好不容易感觉灵笼听感很新鲜。  结果又换    听来听去还是那几个人 , 25-5-25 08:23  来自吉林
25,啊啊啊啊第二季终于来了！！！, 25-5-25 07:49  来自辽宁
26,如果第二季是三年前出的，电影最近两年出，灵笼的电影票房绝对值得期待，刚好赶上电影发展的颓势。就像《哪吒2》一样，绝对会有很多因素下场帮灵笼做宣传。希望不要错过了当下第二季创造的机会，做个电影试试水吧，好好赚一笔，把之前团队里走掉的那部分人也请回来一起把这个IP做好。, 25-5-25 11:05  来自云南
40,太帅了, 25-5-25 00:22  来自广东
41,虽然配音都换了 但是你别说场景是真的好看 角色对话也很接地气也都很好笑 非常欣赏他们的行为艺术, 25-5-24 23:49  来自马来西亚
46,第一季以紧凑么打怪情节推进为主线，穿插介绍人物角色，第二季一上来就是演春晚，其乐融融一片祥和童声合唱，目的也是为了介绍新人物，但是，算鸟，我直接看春晚和广场舞大妈去了。, 25-5-24 15:03  来自安徽
47,还不是为了后面拾荒者打破平衡做铺垫, 25-5-25 18:02 来自上海
48,第二季马克配音图特哈蒙，我知道是想表现野性…那也不能如此夸张的野性嗓音吧, 25-5-24 15:09  来自安徽
49,还带混响, 25-5-24 15:09 来自安徽
50,开播大吉, 25-5-24 15:15  来自广东
51,已看打call, 25-5-24 15:15  来自广东
52,开播了呀，等下就去看, 25-5-24 16:38  来自广东
53,你终于来啦啊啊啊, 25-5-24 17:45  来自浙江
54,救命怎么偷跑两集了, 25-5-24 19:32  来自江苏
55,啊啊啊啊啊啊啊，天花板开播了！, 25-5-24 19:45  来自美国
56,好看但是集数太少了, 25-5-24 21:01  来自山东
57,武汉额春天终于到了是吧, 25-5-24 21:16  来自四川
58,制作组媚人能不能一视同仁，镜头既然莫名其妙意味不明扫过女角色的胸跟屁股，能不能也扫点男角色的？要的就是男角色的肌肉撑爆衣服，男人能不能也搞点大胸大屁股，我们大女人也爱看好吗。, 25-5-24 21:53  来自浙江
59,回复@逝去的诺言02644:俺晓得，想多来点, 25-5-25 15:30 来自浙江
60,马克, 25-5-25 12:44 来自陕西
61,🉑, 25-5-24 21:54  来自湖南
78,前段时间才关注的官方，然后才看到昨天第二季开播了！这下星期五有的看了！第一集今晚回去补起！！！, 25-5-24 14:09  来自四川
79,第二季荷光者梵蒂的配音人员真的是拉个坨大的，没办法就把第一季给翻出来对比，装腔作势的御姐音…救命, 25-5-24 14:57  来自安徽
80,荷光者是两个人啊，这个是梵律，看清楚人物介绍, 25-5-25 09:21 来自湖南
81,对啊  我的妈呀 第一季配音绝了, 25-5-25 08:24 来自吉林
82,有生之年啊！, 25-5-24 14:15  来自辽宁
83,为什么配音全换了, 25-5-24 14:16  来自上海
84,一堆人都犯事了, 25-5-25 12:45 来自陕西
85,看之前，我需要先去回顾一遍第一季, 25-5-24 14:54  来自湖南
86,马克的模型越换越丑，你们为了迎合当下小女生对男主颜值的审美取向，硬是把兽化野兽模型改成兽人帅哥模型，又给我们拉了一坨大的，心中悲痛无以言表, 25-5-24 15:00  来自安徽
87,！！！, 25-5-24 09:49  来自福建
88,我擦, 25-5-24 08:41  来自安徽
89,期待, 25-5-24 09:21  来自湖南
90,第二季出了，太棒, 25-5-24 09:53  来自中国台湾
91,我的天，这是隔了几年了，你终于来第二季了, 25-5-24 10:02  来自湖南
92,等了多年终于把白老板盼来了！时长感人，诚意足够，相比小说翻拍的，还是这类原创更吸引人~, 25-5-24 11:33  来自湖北
93,关于设定的介绍图片，可不可以少点儿，不要一会儿展示一张，过一会儿又一张。这样影响观看体验。建议播放到一半展示一部分，结束的时候展示一部分。或者稍微集中展示。, 25-5-24 11:33  来自四川
94,等了好久了, 25-5-24 11:54  来自四川
95,五年...五年你知道我怎么过吗？你知道吗？, 25-5-24 11:58  来自浙江
96,终于等到你, 25-5-24 12:03  来自广东
97,转发微博, 25-5-24 12:06  来自美国
99,妈呀, 25-5-24 12:21  来自上海
103,等好久了, 25-5-24 12:25  来自山东
104,@网易第五人格 @网易游戏 五宝，玩想要孽蜥和教授的皮肤。能不能谈谈, 25-5-24 13:44  来自云南
105,为什么评论这么少, 25-5-23 22:59  来自贵州
108,奶奶，你的追番更新了, 25-5-23 23:19  来自上海
109,啊啊啊啊啊啊你知道我等你等的有多久了吗！, 25-5-23 23:33  来自江苏
110,开播大吉！, 25-5-23 23:37  来自贵州
111,OMG!, 25-5-23 23:41  来自江苏
112,不够看啊, 25-5-23 23:43  来自四川
113,有生之年等到灵笼第二季啊, 25-5-23 23:55  来自浙江
114,让一个战力惊人的科学家战斗者管理者穿个胸罩短裤半露个胸，带一群老登跳舞，想表达什么？！那么多正事不要干。还有“让我看看你下面那张脸长啥样”这么恶俗的台词，咋这么恶心 恶臭！, 25-5-24 00:48  来自浙江
115,支持 怎么想出来的恶臭台词  不开黄腔很难吗, 25-5-24 18:02 来自广东
116,看小猪佩奇去吧, 25-5-24 01:33 来自辽宁
117,好好好我的年度超大变得更有用了，第二季多更，时长集数多多益善, 25-5-24 02:01  来自江苏
118,出超前点映吧我等不及了, 25-5-24 03:55  来自吉林
119,我知道你很忙，但是月魁转3什么时候出, 25-5-24 05:48  来自辽宁
120,我都是说 五年了 咱们连第一季啥剧情都忘了, 25-5-24 07:35  来自河北
121,感觉第二季的建模更好了, 25-5-24 08:27  来自江西
122,来了来了, 25-5-24 08:31  来自上海
124,终于来了, 25-5-23 21:38  来自山西
125,同右！//@在克拉岛上种百香果:五年了 你知道这期间我怎么过的吗, 25-5-23 21:39  来自加拿大
126,#灵笼第二季开播# 笼子啊！！终于来了, 25-5-23 21:39  来自江西
129,看完 两集还是太短！不够看呀！, 25-5-23 21:40  来自天津
130,太激动了，开播大吉, 25-5-23 22:28  来自英国
131,不够看，根本不够看, 25-5-23 21:54  来自山东
132,终于不是节气博主了, 25-5-23 22:07  来自安徽
133,不够看啊, 25-5-23 22:11  来自湖南
134,好看！就是两集太短了就是不过瘾，想看下集, 25-5-23 22:13  来自山西
135,好好看, 25-5-23 22:16  来自广东
136,梦回, 25-5-23 22:16  来自陕西
137,看不够啊啊啊啊啊, 25-5-23 22:37  来自四川
138,好看，这么多年没白等, 25-5-23 22:45  来自广东
139,耶耶耶耶！生活总算又有新盼头了！！！#灵笼第二季开播# , 25-5-23 22:49  来自广西
140,第一季的限免规则是什么呀, 25-5-23 22:58  来自河北
141,五年了 你知道这期间我怎么过的吗, 25-5-23 21:20  来自江苏
146,哪个大聪明想的植入河南话和粤语的，真的出戏, 25-5-23 19:20  来自福建
147,回复@220520静:应该是来自不同地方的人，都是被白老板带回来的, 25-5-24 14:22 来自辽宁
148,回复@绝望中的奇迹之光:可以，但是没必要 你看着不隔应？, 25-5-24 14:21 来自福建
149,终于来了, 25-5-23 19:27  来自广东
150,烙铁！！！！！！！！！好感动！是中文吗！！！！！！！！！！！！！！！！！！！, 25-5-23 20:42  来自江苏
151,来了终于等到了, 25-5-23 19:32  来自湖南
152,第一季都不知道看了多少遍，终于等到了, 25-5-23 19:58  来自河南
153,帅气的白老板, 25-5-23 20:28  来自新疆
154,笑死  我今天终于看上了。脱掉铁粉标签，永远爱你, 25-5-23 20:43  来自广西
155,能不能多更点, 25-5-23 20:45  来自山西
156,没看够没看够没看够没看够没看够，快更新快更新快更新快更新快更新快更新, 25-5-23 20:47  来自辽宁
157,多更点不够看啊啊啊啊, 25-5-23 20:50  来自安徽
158,卧槽！！！！！！第二季太牛逼了，世界观一下子就铺开了，第一季虽然也充满了想象力和戏剧张力，但是感觉整体故事是有点沉闷的，看不到世界的希望。到了第二季龙骨村一出现，真是别开生面。那真是勃勃生机万物竞发的局面~而且看序言和预告，玛娜生态的来龙去脉也渐渐明确了，这些设定太有想象力了词穷, 25-5-23 20:51  来自上海
159,太好看了, 25-5-23 21:10  来自山西
160,能不能一次更两集大哥, 25-5-23 21:12  来自湖南
161,啊啊啊啊为什么我都不知道，！现在我赶紧去搞会员看起！！等了好久了，第一季都快忘记了, 25-5-23 21:15  来自湖南
164,终于, 25-5-23 17:50  来自河南
165,这是什么好东西啊！！, 25-5-23 17:50  来自广东
171,#灵笼2 好细节的打磨# 奶奶你追的灵笼隔了好几年终于更新了！#灵笼# , 25-5-23 17:52  来自湖北
174,看了两集 完全不够看啊, 25-5-23 17:52  来自湖北
175,白老板还是那么好看, 25-5-23 18:07  来自福建
176,@山檀乐 终于开播了👏👏, 25-5-23 18:11  来自湖南
177,开播大吉！两集70分钟看完，各方面都非常顶。后面只要剧情上别出岔子，就真正顶中顶了。, 25-5-23 18:19  来自浙江
178,？！, 25-5-23 18:38  来自江西
179,白老板来了那个操控的是生命源质吗？有点帅啊, 25-5-23 18:48  来自江苏
180,等的太久了, 25-5-23 18:55  来自浙江
181,你知道我等了多久吗！你个死鬼现在才回来, 25-5-23 18:57  来自山东
182,终于开播了, 25-5-23 19:08  来自陕西
183,终于, 25-5-23 16:50  来自陕西
186,开播大吉, 25-5-23 17:05  来自广东
187,妈耶你终于播了，有生之年🙏, 25-5-23 17:14  来自四川
188,终于, 25-5-23 17:37  来自美国
190,有生之年系列刷新新地图, 25-5-23 17:14  来自福建
191,龙骨村上线！与灯塔截然不同的信仰与理念究竟会带来怎样的碰撞？🔥恭喜 #灵笼第二季开播#，解锁「龙骨村」全新地图！ 🎶魔池音乐即将献上《灵笼》实体原声专辑，重现末世旋律，敬请期待❗, 25-5-23 17:23  来自上海
198,还好有B站会员, 25-5-23 17:29  来自广东
199,麻溜的来了, 25-5-23 17:43  来自上海
201,光影之主非常满意, 25-5-23 14:49  来自广东
202,Music Copyright by E-Link Music, 25-5-23 15:08  来自北京
205,咕~我在！, 25-5-23 15:10  来自上海
206,今夕是何年啊, 25-5-23 15:16  来自江苏
209,我都快忘了, 25-5-23 15:23  来自安徽
210,我的妈终于放了, 25-5-23 15:56  来自广东
211,今夕是何年!, 25-5-23 15:57  来自福建
212,卧槽, 25-5-23 16:02  来自北京
213,开播大吉，良心巨作！一集40分钟！太棒辣🥰, 25-5-23 16:11  来自江苏
214,欢迎回归！！！, 25-5-23 16:16  来自江苏
215,刚看到精彩部分就下个礼拜了, 25-5-23 16:19  来自浙江
216,来晚了，欢迎回归，我的神！！！🧎‍♀️, 25-5-23 16:20  来自广东
217,有生之年, 25-5-23 16:28  来自四川
218,终于 终于, 25-5-23 16:30  来自江西
219,一口气看两集, 25-5-23 14:44  来自广西
226,字幕能不能加粗一下啊 看得有点费劲 其余的全10分, 25-5-23 13:27  来自江苏
227,五年啦喂  儿子都上学了#灵笼第二季开播# #灵笼第二季# 灵笼超话 , 25-5-23 13:29  来自重庆
228,快点放出荷光者的壁纸！, 25-5-23 13:30  来自广东
229,来了来了  得重温下第一季 才能看 都快忘了, 25-5-23 13:35  来自北京
230,第三集啊！！我的第三集。。果然前2集的欢乐。只是暂时的, 25-5-23 13:47  来自江苏
231,怎么还不是下周五啊，第三集, 25-5-23 13:52  来自山西
232,根本不够看等更等的好苦, 25-5-23 13:57  来自陕西
233,好看，爱看, 25-5-23 14:14  来自山西
234,开饭啦开饭啦, 25-5-23 14:20  来自广东
235,姥姥，你的灵笼更新了！！！这次不要再断更5年了！, 25-5-23 14:23  来自瑞士
236,终于！#灵笼第二季开播# , 25-5-23 14:25  来自浙江
237,快开提前点播吧，9.9元10集, 25-5-23 14:27  来自广东
238,支持啊, 25-5-23 18:42 来自天津
239,OMG子！！！！！！！, 25-5-23 14:41  来自湖北
242,大家都去看, 25-5-23 12:56  来自浙江
243,终于开播了, 25-5-23 12:57  来自四川
246,等的花都谢了, 25-5-23 12:57  来自江苏
250,hhhh可算是等到啦 [电影特技狂人], 25-5-23 12:57  来自上海
251,终于来了啊啊啊啊, 25-5-23 12:57  来自山东
252,？你永远更新了, 25-5-23 13:08  来自湖北
253,你知道我这五年怎么过的吗, 25-5-23 13:02  来自河南
254,#灵笼第二季开播# #灵笼第二季# 灵笼超话❗❗❗❗❗❗❗❗❗❗❗, 25-5-23 13:06  来自江苏
255,终于来了, 25-5-23 13:06  来自广西
256,有生之年 也是被我等到了, 25-5-23 13:08  来自浙江
257,更完了再看, 25-5-23 13:09  来自湖南
258,开播大吉, 25-5-23 13:16  来自四川
259,你知道我等了几年吗, 25-5-23 13:17  来自四川
260,为啥换了查尔斯cv就喜欢梁达伟老师的美人音啊, 25-5-23 13:26  来自上海
261,回复@泡泡桔酱通心粉黑化版:我心已死, 25-5-25 20:20 来自福建
262,回复@一杯淡美式:藤新, 25-5-25 20:20 来自上海
266,开播大吉, 25-5-23 12:09  来自广东
267,终于来了, 25-5-23 12:12  来自浙江
269,南极星还是俺河南老乡？, 25-5-23 12:14  来自湖南
270,#灵笼第二季开播#  你可算是出来了, 25-5-23 12:20  来自陕西
271,爷爷奶奶，您追的灵笼更新啦, 25-5-23 12:21  来自广东
272,再不更新我都要退休了, 25-5-23 12:33  来自上海
273,晚上回去躺着看, 25-5-23 12:36  来自四川
274,终于来了, 25-5-23 12:36  来自湖南
275,咕, 25-5-23 12:36  来自安徽
276,你知道我这四五年是怎么过的吗, 25-5-23 12:42  来自广东
277,抓紧更新，抓紧更新，不经看, 25-5-23 12:43  来自安徽
278,好 第一季忘完了, 25-5-23 12:44  来自河南
279,你知道这四年我等你等的有多苦吗, 25-5-23 12:46  来自江西
280,是的是的是的, 25-5-23 12:53 来自广西
281,昨天紧急通看第一季, 25-5-23 12:49  来自四川
282,她终于来啦啊啊啊啊啊啊啊啊, 25-5-23 12:52  来自河南
283,终于回归，开播大吉！, 25-5-23 12:53  来自广西
286,终于！, 25-5-23 11:37  来自山东
292,我的白月光更新了, 25-5-23 11:46  来自四川
293,这么突然😮, 25-5-23 11:52  来自河南
294,第二季全新人马吗, 25-5-23 11:58  来自陕西
295,只能说，终于！！！, 25-5-23 11:58  来自海南
296,来看啦！开播大吉, 25-5-23 11:59  来自湖南
297,再也看不到碎冰冰了嘛, 25-5-23 12:00  来自江苏
298,终于来了, 25-5-23 12:00  来自河北
299,夺少年了都，我等了多久，你知道吗#灵笼第二季开播# , 25-5-23 12:03  来自广东
300,第一季都忘完了你想起来播第二季了, 25-5-23 12:04  来自河南
301,一共多少集啊, 25-5-23 12:06  来自广东
